Re_top,Re_bot,z_D,x_D,Noise_RMS
-0.9707653804342311,-0.8626690482965568,0.16012815380508713,1.3416407864998743,64.0617840769696
-0.9707653804342311,-0.9707653804342311,1.4411533842457842,-1.3416407864998738,66.71330193182239
-0.8626690482965568,-0.8626690482965568,1.4411533842457842,-1.3416407864998738,75.3924798806949
-0.8626690482965568,-0.9707653804342311,1.4411533842457842,-1.3416407864998738,72.33872413464455
-0.9707653804342311,-0.8626690482965568,1.4411533842457842,-1.3416407864998738,70.80154180634142
-0.9707653804342311,-0.9707653804342311,1.4411533842457842,-0.4472135954999578,65.6050185578804
-0.8626690482965568,-0.8626690482965568,1.4411533842457842,-0.4472135954999578,75.1908409606686
-0.8626690482965568,-0.9707653804342311,1.4411533842457842,-0.4472135954999578,72.14240529112348
-0.9707653804342311,-0.8626690482965568,1.4411533842457842,-0.4472135954999578,68.8306591837117
-0.9707653804342311,-0.9707653804342311,1.4411533842457842,0.4472135954999578,64.10485839445529
